Distrito;População 2010;Censo 2000;Regiao
Grajaú;444.593;333.436;Sul
Sapopemba;296.042;282.239;Leste
Jardim Ângela;291.798;245.805;Sul
Brasilândia;280.069;247.328;Norte
Capão Redondo;275.230;240.793;Sul
Jardim São Luís;261.586;239.161;Sul
Cidade Ademar;248.215;243.372;Sul
Itaim Paulista;241.026;212.733;Leste
Sacomã;237.769;228.283;Sul
Jaraguá;220.292;201.512;Norte
Cidade Tiradentes;219.868;190.657;Leste
Campo Limpo;216.098;191.527;Sul
Jabaquara;212.504;214.095;Sul
Cidade Dutra;203.473;191.389;Sul
Itaquera;199.824;145.900;Leste
Tremembé;185.731;163.803;Norte
Lajeado;185.184;157.773;Leste
Vila Jacuí;167.965;141.959;Leste
Pirituba;163.696;161.796;Norte
Vila Curuçá;162.486;146.482;Leste
Pedreira;158.656;127.425;Sul
São Mateus;158.533;154.850;Leste
Cachoeirinha;157.408;147.649;Norte
Jardim Helena;153.634;139.106;Leste
Cangaíba;151.538;137.442;Leste
São Rafael;151.017;125.088;Leste
Parelheiros;146.212;102.836;Sul
Freguesia do Ó;138.101;144.923;Norte
São Lucas;136.175;139.333;Leste
Cidade Líder;130.255;116.841;Leste
Vila Medeiros;128.692;140.564;Norte
Iguatemi;126.645;101.780;Oeste
Penha;117.691;124.292;Leste
Ermelino Matarazzo;116.632;106.838;Leste
Rio Pequeno;115.999;111.756;Oeste
Vila Mariana;112.952;123.683;Sul
Santana;112.613;124.654;Norte
Guaianases;111.325;98.546;Leste
Saúde;111.308;118.077;Sul
José Bonifácio;108.366;107.082;Leste
Vila Maria;107.395;113.845;Norte
Artur Alvim;104.864;111.210;Leste
Mandaqui;101.994;103.113;Norte
Vila Andrade;99.274;73.649;Sul
Vila Matilde;98.173;102.935;Leste
Perdizes;97.706;102.445;Oeste
Raposo Tavares;96.914;91.204;Oeste
Campo Grande;96.756;91.373;Sul
Vila Prudente;96.441;102.104;Leste
Ipiranga;94.787;98.863;Sul
Ponte Rasa;93.631;98.113;Leste
São Miguel Paulista;93.187;97.373;Leste
Aricanduva;92.982;94.813;Leste
Cursino;92.895;102.089;Sul
Jaçanã;92.836;91.809;Norte
São Domingos;90.777;82.834;Norte
Vila Sônia;89.927;87.379;Oeste
Vila Formosa;89.510;93.850;Leste
Tucuruvi;88.566;99.368;Norte
Perus;85.002;70.689;Norte
Limão;80.571;82.045;Norte
Itaim Bibi;80.501;81.456;Oeste
Água Rasa;78.556;85.896;Leste
Jardim Paulista;76.033;83.667;Oeste
Casa Verde;75.687;83.629;Norte
Tatuapé;75.481;79.381;Leste
Moema;71.459;71.276;Sul
Carrão;71.363;78.175;Leste
Parque do Carmo;69.630;64.067;Leste
Anhanguera;65.859;38.427;Norte
Santa Cecília;63.689;71.179;Centro
Mooca;63.133;63.280;Leste
Campo Belo;62.530;66.646;Sul
Pinheiros;61.711;62.997;Oeste
Santo Amaro;60.373;60.539;Sul
Lapa;58.924;60.184;Oeste
Liberdade;57.860;61.875;Centro
Bela Vista;57.204;63.190;centro
Vila Guilherme;48.407;49.984;Norte
Butantã;48.040;52.649;Oeste
Consolação;44.991;54.522;Centro
República;42.802;47.718;Centro
Jaguaré;41.628;42.479;Oeste
Alto de Pinheiros;39.477;44.454;Oeste
Socorro;36.691;39.097;Sul
Belém;36.283;39.622;Leste
Morumbi;32.281;34.588;Oeste
Vila Leopoldina;30.188;26.870;Oeste
Cambuci;29.811;28.717;Centro
Bom Retiro;28.591;26.598;Centro
Brás;26.587;25.158;Leste
Jaguara;24.114;25.713;Oeste
Sé;21.564;20.115;Centro
Pari;16.144;14.824;Leste
Barra Funda;12.977;12.965;Oeste
Marsilac;10.180;8.404;Sul
